iter	Passed	Remaining
0	222	222611
1	275	137428
2	308	102656
3	355	88504
4	456	90773
5	534	88509
6	609	86412
7	687	85264
8	742	81781
9	864	85604
10	932	83879
11	1004	82692
12	1100	83557
13	1142	80455
14	1221	80195
15	1320	81223
16	1396	80724
17	1480	80787
18	1580	81619
19	1651	80939
20	1732	80772
21	1799	79978
22	1885	80112
23	1973	80237
24	2045	79788
25	2137	80069
26	2220	80022
27	2275	79001
28	2354	78820
29	2447	79120
30	2517	78695
31	2595	78518
32	2693	78930
33	2782	79066
34	2849	78572
35	2922	78248
36	2984	77668
37	3073	77804
38	3177	78305
39	3276	78630
40	3362	78639
41	3446	78617
42	3528	78527
43	3624	78752
44	3722	78993
45	3811	79053
46	3906	79216
47	3985	79047
48	4058	78766
49	4127	78430
50	4317	80342
51	4417	80538
52	4509	80576
53	4602	80629
54	4692	80617
55	4780	80584
56	4918	81374
57	5009	81363
58	5127	81783
59	5224	81846
60	5308	81709
61	5383	81440
62	5474	81418
63	5552	81199
64	5631	80999
65	5729	81075
66	5804	80829
67	5889	80726
68	5977	80652
69	6060	80513
70	6155	80541
71	6245	80493
72	6320	80255
73	6409	80202
74	6490	80054
75	6594	80172
76	6704	80369
77	6796	80333
78	6900	80443
79	7013	80659
80	7110	80674
81	7204	80652
82	7298	80634
83	7380	80485
84	7439	80082
85	7542	80164
86	7617	79942
87	7709	79903
88	7787	79708
89	7858	79457
90	7960	79516
91	8045	79404
92	8143	79416
93	8229	79318
94	8325	79313
95	8398	79082
96	8483	78977
97	8579	78962
98	8662	78835
99	8745	78709
100	8844	78725
101	8939	78702
102	9034	78679
103	9140	78747
104	9238	78744
105	9340	78780
106	9359	78113
107	9446	78019
108	9527	77884
109	9652	78093
110	9739	78001
111	9832	77956
112	9924	77899
113	10014	77830
114	10062	77440
115	10148	77335
116	10242	77298
117	10319	77131
118	10416	77113
119	10496	76977
120	10594	76964
121	10679	76860
122	10762	76736
123	10845	76621
124	10916	76416
125	11006	76344
126	11103	76322
127	11184	76197
128	11272	76114
129	11339	75885
130	11417	75735
131	11457	75339
132	11572	75439
133	11654	75317
134	11689	74899
135	11780	74838
136	11863	74733
137	11950	74650
138	12041	74586
139	12104	74354
140	12177	74187
141	12225	73872
142	12251	73421
143	12311	73183
144	12407	73160
145	12491	73065
146	12560	72884
147	12625	72682
148	12723	72667
149	12811	72601
150	12903	72552
151	12993	72489
152	13079	72408
153	13166	72330
154	13309	72556
155	13411	72559
156	13519	72590
157	13627	72621
158	13730	72626
159	13839	72654
160	13941	72649
161	14042	72641
162	14153	72677
163	14259	72687
164	14581	73789
165	14769	74202
166	14840	74024
167	14919	73887
168	15003	73774
169	15114	73793
170	15211	73745
171	15303	73668
172	15403	73633
173	15483	73500
174	15580	73451
175	15669	73362
176	15745	73214
177	15835	73126
178	15979	73291
179	16098	73336
180	16181	73220
181	16276	73156
182	16383	73142
183	16485	73111
184	16579	73037
185	16668	72946
186	16776	72938
187	16852	72789
188	16927	72635
189	17022	72569
190	17097	72416
191	17160	72215
192	17280	72253
193	17366	72149
194	17448	72031
195	17526	71895
196	17611	71786
197	17691	71658
198	17789	71604
199	17872	71490
200	17965	71413
201	18040	71268
202	18157	71287
203	18243	71186
204	18328	71079
205	18448	71105
206	18559	71099
207	18628	70931
208	18716	70835
209	18773	70622
210	18857	70515
211	18939	70396
212	19044	70367
213	19160	70373
214	19227	70201
215	19328	70154
216	19406	70023
217	19489	69912
218	19565	69774
219	19655	69687
220	19744	69596
221	19832	69502
222	19913	69386
223	19970	69183
224	20047	69051
225	20129	68938
226	20209	68819
227	20308	68764
228	20392	68657
229	20477	68556
230	20567	68469
231	20640	68325
232	20720	68207
233	20830	68187
234	20928	68128
235	21034	68095
236	21123	68004
237	21209	67906
238	21299	67820
239	21385	67721
240	21463	67596
241	21574	67575
242	21646	67432
243	21727	67318
244	21808	67204
245	21900	67126
246	21977	67001
247	22063	66901
248	22135	66760
249	22194	66583
250	22281	66489
251	22332	66289
252	22397	66128
253	22487	66045
254	22566	65930
255	22623	65748
256	22705	65643
257	22800	65573
258	22880	65460
259	22945	65306
260	23022	65186
261	23084	65024
262	23229	65095
263	23301	64961
264	23361	64796
265	23452	64715
266	23527	64589
267	23597	64453
268	23690	64378
269	23786	64312
270	23868	64207
271	23948	64097
272	24024	63977
273	24097	63850
274	24164	63707
275	24229	63557
276	24299	63424
277	24397	63362
278	24468	63233
279	24555	63143
280	24651	63075
281	24731	62969
282	24808	62853
283	24887	62744
284	24979	62667
285	25073	62595
286	25159	62503
287	25233	62383
288	25309	62265
289	25382	62142
290	25465	62044
291	25546	61941
292	25631	61847
293	25703	61722
294	25787	61628
295	25867	61523
296	25950	61424
297	26037	61337
298	26121	61242
299	26188	61105
300	26266	60997
301	26344	60887
302	26415	60764
303	26481	60629
304	26556	60515
305	26640	60420
306	26714	60303
307	26780	60169
308	26883	60117
309	26990	60076
310	27073	59980
311	27154	59879
312	27215	59735
313	27278	59596
314	27357	59491
315	27435	59386
316	27527	59311
317	27606	59207
318	27665	59060
319	27742	58953
320	27829	58866
321	27897	58740
322	27950	58584
323	28033	58490
324	28130	58425
325	28193	58290
326	28259	58160
327	28334	58050
328	28396	57914
329	28473	57809
330	28565	57735
331	28652	57650
332	28719	57525
333	28798	57424
334	28877	57324
335	28960	57232
336	29078	57208
337	29177	57146
338	29272	57076
339	29383	57039
340	29474	56960
341	29558	56869
342	29670	56831
343	29743	56719
344	29810	56595
345	29868	56456
346	29979	56417
347	30048	56297
348	30156	56252
349	30237	56155
350	30337	56093
351	30408	55978
352	30476	55858
353	30580	55805
354	30679	55741
355	30767	55657
356	30858	55579
357	30944	55492
358	31029	55403
359	31110	55307
360	31195	55218
361	31287	55141
362	31359	55030
363	31434	54924
364	31519	54835
365	31595	54730
366	31682	54645
367	31766	54554
368	31845	54456
369	31921	54353
370	32010	54271
371	32099	54189
372	32206	54137
373	32304	54071
374	32383	53972
375	32489	53918
376	32578	53836
377	32669	53757
378	32737	53640
379	32808	53530
380	32873	53408
381	32958	53320
382	33007	53174
383	33077	53062
384	33152	52957
385	33226	52852
386	33324	52785
387	33419	52712
388	33510	52635
389	33583	52528
390	33664	52433
391	33730	52317
392	33795	52197
393	33869	52093
394	33942	51987
395	34020	51890
396	34105	51803
397	34183	51704
398	34267	51616
399	34354	51531
400	34440	51446
401	34522	51354
402	34601	51258
403	34683	51166
404	34761	51069
405	34842	50975
406	34904	50856
407	35000	50785
408	35081	50692
409	35167	50606
410	35240	50503
411	35330	50422
412	35425	50350
413	35504	50255
414	35589	50168
415	35671	50077
416	35760	49996
417	35837	49898
418	35916	49803
419	35984	49693
420	36072	49610
421	36178	49552
422	36266	49469
423	36350	49381
424	36410	49261
425	36469	49139
426	36542	49037
427	36600	48915
428	36676	48817
429	36725	48682
430	36797	48579
431	36895	48510
432	36976	48419
433	37041	48307
434	37123	48217
435	37202	48124
436	37264	48008
437	37321	47887
438	37385	47775
439	37451	47665
440	37503	47538
441	37584	47448
442	37654	47344
443	37718	47233
444	37800	47144
445	37846	47010
446	37914	46905
447	37989	46808
448	38039	46681
449	38112	46582
450	38167	46461
451	38242	46364
452	38320	46271
453	38398	46179
454	38485	46097
455	38592	46040
456	38683	45962
457	38746	45853
458	38820	45756
459	38901	45667
460	38970	45563
461	39045	45468
462	39125	45378
463	39208	45292
464	39267	45178
465	39331	45070
466	39411	44981
467	39493	44894
468	39570	44801
469	39640	44701
470	39741	44635
471	39817	44541
472	39898	44452
473	39980	44366
474	40070	44287
475	40141	44189
476	40228	44107
